UAI,Sigle,Nom Archipel,Nom complet (Archipel),Nom complet,PAS.1.Collège de rattachement,PAS.1.Dénomination principale,PAS.1.Dénomination complémentaire,Education prioritaire (Archipel),Territoire,Adresse,PAS.1.Lieu dit,Code Postal,Ville,IPS,ULIS,Degré,Secteur,Mail,Téléphone,Chef d'établissement,PAS.1.Hébergement,Circonscription,PAS,Nom du PAS,Bassin,Secteur SEGPA,Secteur ERSEH,ERSEH,PIAL,Effectifs ens. Adapté,Effectifs (Archipel),PAS.1.Effectifs,Latitude,Longitude,Lat Moyen Secteur,Long Moyen Secteur,Indice d'éloignement
0671422G,"E.E.PU ",ECOLE ELEMENTAIRE,ECOLE ELEMENTAIRE LIPSHEIM,ECOLE ELEMENTAIRE PUBLIQUE LIPSHEIM,COLLEGE JEAN DE LA FONTAINE,"ECOLE ELEMENTAIRE PUBLIQUE ",,Hors EP,,2 place Leclerc,,67640,LIPSHEIM,0,0,1er degré,Public,ce.0671422G@ac-strasbourg.fr,0388648712,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,ILLKIRCH Nelson Mandela,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671396D,,122,132,48.48996976,7.664100651,"48,53160626","7,634516576",5.117035005
0671686U,"CLG ",COLLEGE PAUL WERNERT,COLLEGE PAUL WERNERT ACHENHEIM,COLLEGE PAUL WERNERT ACHENHEIM,,"COLLEGE ","PAUL WERNERT ",Hors EP,,4 rue du Collège,,67204,ACHENHEIM,118.6,1,2nd degré,Public,ce.0671686U@ac-strasbourg.fr,0388960242,VERONIQUE GROB,SANS INTERNAT AVEC DEMI PENSION,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,534,538,48.58244936,7.623262384,"48,53160626","7,634516576",5.713846762
0671687V,"CLG ",COLLEGE SEBASTIEN BRANT,COLLEGE SEBASTIEN BRANT ESCHAU,COLLEGE SEBASTIEN BRANT ESCHAU,,"COLLEGE ","SEBASTIEN BRANT ",Hors EP,,5 rue du Collège,,67114,ESCHAU,113.7,1,2nd degré,Public,ce.0671687V@ac-strasbourg.fr,0388642633,SYLVIE SCHOULER,SANS INTERNAT AVEC DEMI PENSION,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,SUD 5,HUMMEL Christelle,PIAL_0671396D,,723,735,48.48707338,7.713698073,"48,53160626","7,634516576",7.651450454
0671714Z,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE BREUSCHWICKERSHEIM,ECOLE MATERNELLE PUBLIQUE BREUSCHWICKERSHEIM,,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,8 rue des Vignes,,67112,BREUSCHWICKERSHEIM,0,0,1er degré,Public,ce.0671714Z@ac-strasbourg.fr,0369780191,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,39,40,48.57988709,7.598582503,"48,53160626","7,634516576",5.984661656
0671766F,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE ACHENHEIM,ECOLE MATERNELLE PUBLIQUE ACHENHEIM,,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,6 rue Descartes,,67204,ACHENHEIM,0,0,1er degré,Public,ce.0671766F@ac-strasbourg.fr,0388961197,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,77,89,48.58238408,7.624963722,"48,53160626","7,634516576",5.689840003
0671768H,"E.M.PU ",ECOLE MATERNELLE LES HIRONDELLES,ECOLE MATERNELLE LES HIRONDELLES ESCHAU,ECOLE MATERNELLE PUBLIQUE LES HIRONDELLES ESCHAU,,"ECOLE MATERNELLE PUBLIQUE ","LES HIRONDELLES ",Hors EP,,5 rue des Platanes,,67114,ESCHAU,0,0,1er degré,Public,ce.0671768H@ac-strasbourg.fr,0388642705,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,SUD 5,HUMMEL Christelle,PIAL_0671396D,,59,81,48.48779212,7.726779053,"48,53160626","7,634516576",8.362369594
0671824U,"CLG ",COLLEGE JEAN DE LA FONTAINE,COLLEGE JEAN DE LA FONTAINE GEISPOLSHEIM,COLLEGE JEAN DE LA FONTAINE GEISPOLSHEIM,,"COLLEGE ","JEAN DE LA FONTAINE ",Hors EP,,1 rue du Collège,,67118,GEISPOLSHEIM,111.2,1,2nd degré,Public,ce.0671824U@ac-strasbourg.fr,0388599159,DOMINIQUE BECK,SANS INTERNAT AVEC DEMI PENSION,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671396D,,658,615,48.51817096,7.651920567,"48,53160626","7,634516576",1.968398888
0672001L,"E.M.PU ",ECOLE MATERNELLE JULES HOFFMANN,ECOLE MATERNELLE JULES HOFFMANN LIPSHEIM,ECOLE MATERNELLE PUBLIQUE JULES HOFFMANN LIPSHEIM,,"ECOLE MATERNELLE PUBLIQUE ","JULES HOFFMANN ",Hors EP,,2 place Leclerc,,67640,LIPSHEIM,0,0,1er degré,Public,ce.0672001L@ac-strasbourg.fr,0388648710,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671396D,,65,66,48.48996976,7.664100651,"48,53160626","7,634516576",5.117035005
0672004P,"E.P.PU ",ECOLE PRIMAIRE AU FIL DE L EAU,ECOLE PRIMAIRE AU FIL DE L EAU PLOBSHEIM,ECOLE PRIMAIRE PUBLIQUE AU FIL DE L'EAU PLOBSHEIM,COLLEGE SEBASTIEN BRANT,"ECOLE PRIMAIRE PUBLIQUE ","AU FIL DE L'EAU ",Hors EP,,4 rue de l'école,,67115,PLOBSHEIM,0,0,1er degré,Public,ce.0672004P@ac-strasbourg.fr,0388680190,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,ERSTEIN Romain Rolland,SUD 5,HUMMEL Christelle,PIAL_0671396D,,295,278,48.47155413,7.728356841,"48,53160626","7,634516576",9.612042134
0672038B,"E.E.PU ",ECOLE ELEMENTAIRE DU GLOECKELSBERG,ECOLE ELEMENTAIRE DU GLOECKELSBERG BLAESHEIM,ECOLE ELEMENTAIRE PUBLIQUE DU GLOECKELSBERG BLAESHEIM,COLLEGE JEAN DE LA FONTAINE,"ECOLE ELEMENTAIRE PUBLIQUE ","DU GLOECKELSBERG ",Hors EP,,61 rue du Maréchal Foch,,67113,BLAESHEIM,0,0,1er degré,Public,ce.0672038B@ac-strasbourg.fr,0388689102,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,ILLKIRCH Nelson Mandela,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671396D,,80,61,48.50568837,7.608536204,"48,53160626","7,634516576",3.459357728
0672206J,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE ERNOLSHEIM BRUCHE,ECOLE MATERNELLE PUBLIQUE ERNOLSHEIM BRUCHE,,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,9 allée du Stade,,67120,ERNOLSHEIM BRUCHE,0,0,1er degré,Public,ce.0672206J@ac-strasbourg.fr,0388598704,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,67,48,48.56070184,7.567737413,"48,53160626","7,634516576",5.88491243
0672247D,"E.M.PU ",ECOLE MATERNELLE LE MOULIN,ECOLE MATERNELLE LE MOULIN PLOBSHEIM,ECOLE MATERNELLE PUBLIQUE LE MOULIN PLOBSHEIM,,"ECOLE MATERNELLE PUBLIQUE ","LE MOULIN ",Hors EP,,2 rue des Faisans,,67115,PLOBSHEIM,0,0,1er degré,Public,ce.0672247D@ac-strasbourg.fr,0388985671,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,SUD 5,HUMMEL Christelle,PIAL_0671396D,,82,82,48.46634747,7.735636416,"48,53160626","7,634516576",10.4003988
0672258R,"E.P.PU ",ECOLE PRIMAIRE JEAN HANS ARP,ECOLE PRIMAIRE JEAN HANS ARP DUTTLENHEIM,ECOLE PRIMAIRE PUBLIQUE JEAN HANS ARP DUTTLENHEIM,COLLEGE NICOLAS COPERNIC,"ECOLE PRIMAIRE PUBLIQUE ","JEAN HANS ARP ",Hors EP,,1 place des frères Mathis,,67120,DUTTLENHEIM,0,0,1er degré,Public,ce.0672258R@ac-strasbourg.fr,0388507246,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,MOLSHEIM Rembrandt Bugatti,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,261,178,48.530932,7.560949489,"48,53160626","7,634516576",5.417596188
0672351S,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE ERNOLSHEIM BRUCHE,ECOLE PRIMAIRE PUBLIQUE ERNOLSHEIM BRUCHE,COLLEGE NICOLAS COPERNIC,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,5 allée du Stade,,67120,ERNOLSHEIM BRUCHE,0,0,1er degré,Public,ce.0672351S@ac-strasbourg.fr,0388598702,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,MOLSHEIM Rembrandt Bugatti,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,108,106,48.56086461,7.567159759,"48,53160626","7,634516576",5.93038187
0672392L,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE ENTZHEIM,ECOLE MATERNELLE PUBLIQUE ENTZHEIM,,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,Rue du Tramway,,67960,ENTZHEIM,0,0,1er degré,Public,ce.0672392L@ac-strasbourg.fr,0388689709,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671396D,,110,109,48.53425975,7.638791707,"48,53160626","7,634516576",0.431448667
0672451A,"E.M.PU ",ECOLE MATERNELLE LE PETIT PRINCE,ECOLE MATERNELLE LE PETIT PRINCE ITTENHEIM,ECOLE MATERNELLE PUBLIQUE LE PETIT PRINCE ITTENHEIM,,"ECOLE MATERNELLE PUBLIQUE ","LE PETIT PRINCE ",Hors EP,,Rue des Erables,,67117,ITTENHEIM,0,0,1er degré,Public,ce.0672451A@ac-strasbourg.fr,0388690765,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,78,65,48.60762812,7.593070253,"48,53160626","7,634516576",8.986501982
0672454D,"E.E.PU ",ECOLE PRIMAIRE L ILE AUX FRENES,ECOLE PRIMAIRE L ILE AUX FRENES ESCHAU,ECOLE PRIMAIRE PUBLIQUE L'ILE AUX FRENES ESCHAU,COLLEGE SEBASTIEN BRANT,"ECOLE PRIMAIRE PUBLIQUE ","L'ILE AUX FRENES ",Hors EP,,60 rue 1ère Division Blindée,,67114,ESCHAU,0,0,1er degré,Public,ce.0672454D@ac-strasbourg.fr,0388642240,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,ERSTEIN Romain Rolland,SUD 5,HUMMEL Christelle,PIAL_0671396D,,332,353,48.48542575,7.714588379,"48,53160626","7,634516576",7.820693829
0672470W,"E.E.PU ",ECOLE PRIMAIRE SAINT EXUPERY,ECOLE PRIMAIRE SAINT EXUPERY GEISPOLSHEIM,ECOLE PRIMAIRE PUBLIQUE SAINT EXUPERY GEISPOLSHEIM,COLLEGE JEAN DE LA FONTAINE,"ECOLE PRIMAIRE PUBLIQUE ","SAINT EXUPERY ",Hors EP,,3 rue du Collège,,67118,GEISPOLSHEIM,0,0,1er degré,Public,ce.0672470W@ac-strasbourg.fr,0388686887,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,ILLKIRCH Nelson Mandela,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671396D,,207,217,48.51979721,7.6515834,"48,53160626","7,634516576",1.8176659
0672489S,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE HANGENBIETEN,ECOLE PRIMAIRE PUBLIQUE HANGENBIETEN,COLLEGE PAUL WERNERT,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,10 impasse des Ormes,,67980,HANGENBIETEN,0,0,1er degré,Public,ce.0672489S@ac-strasbourg.fr,0369579696,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,LINGOLSHEIM Maxime Alexandre,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,112,111,48.56056044,7.615770409,"48,53160626","7,634516576",3.502833726
0672545C,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE HANGENBIETEN,ECOLE MATERNELLE PUBLIQUE HANGENBIETEN,,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,19 rue des Noyers,,67980,HANGENBIETEN,0,0,1er degré,Public,ce.0672545C@ac-strasbourg.fr,0369810089,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,71,63,48.55980532,7.614981654,"48,53160626","7,634516576",3.449621372
0672580R,"E.M.PU ",ECOLE MATERNELLE PUBLIQUE,ECOLE MATERNELLE PUBLIQUE BLAESHEIM,ECOLE MATERNELLE PUBLIQUE BLAESHEIM,,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,2 rue du Lavoir,,67113,BLAESHEIM,0,0,1er degré,Public,ce.0672580R@ac-strasbourg.fr,0388689232,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671396D,,50,50,48.50346227,7.608034011,"48,53160626","7,634516576",3.687581205
0672661D,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE KOLBSHEIM,ECOLE PRIMAIRE PUBLIQUE KOLBSHEIM,COLLEGE PAUL WERNERT,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,28 rue Jacques Maritain,,67120,KOLBSHEIM,0,0,1er degré,Public,ce.0672661D@ac-strasbourg.fr,0390294242,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,LINGOLSHEIM Maxime Alexandre,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,105,93,48.56140069,7.590894729,"48,53160626","7,634516576",4.613795291
0672849H,"E.P.PU ",ECOLE PRIMAIRE FRANCOIS J ESPERE,ECOLE PRIMAIRE FRANCOIS J ESPERE DACHSTEIN,ECOLE PRIMAIRE PUBLIQUE FRANCOIS J'ESPERE DACHSTEIN,COLLEGE NICOLAS COPERNIC,"ECOLE PRIMAIRE PUBLIQUE ","FRANCOIS J'ESPERE ",Hors EP,,Rue Jacques Prévert,,67120,DACHSTEIN,0,0,1er degré,Public,ce.0672849H@ac-strasbourg.fr,0388385000,,,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,MOLSHEIM Rembrandt Bugatti,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,166,163,48.54846087,7.53410409,"48,53160626","7,634516576",7.626411563
0672896J,"CLG ",COLLEGE NICOLAS COPERNIC,COLLEGE NICOLAS COPERNIC DUTTLENHEIM,COLLEGE NICOLAS COPERNIC DUTTLENHEIM,,"COLLEGE ","NICOLAS COPERNIC ",Hors EP,,Rue du Stade,,67120,DUTTLENHEIM,117.1,1,2nd degré,Public,ce.0672896J@ac-strasbourg.fr,0388482330,FRANCOISE SENERS,SANS INTERNAT AVEC DEMI PENSION,EUROMETROPOLE SUD - OUEST,Couronne de Strasbourg,Couronne De Strasbourg,EUROMETROPOLE,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0672258R,,466,459,48.53090263,7.569308194,"48,53160626","7,634516576",4.802226967
0670049P,"LG ",LYCEE GENERAL FREPPEL,LYCEE GENERAL FREPPEL OBERNAI,LYCEE GENERAL FREPPEL OBERNAI,,"LYCEE GENERAL ","FREPPEL ",Sans objet,,25 rue du général Gouraud,,67212,OBERNAI,132.7,0,2nd degré,Public,ce.0670049P@ac-strasbourg.fr,0388476300,CHARLY Christophe,SANS INTERNAT AVEC DEMI PENSION,OBERNAI,Deux portes,Deux Portes,SUD,,SUD 2,RIEGERT Isabelle,PIAL_0671434V,,623,661,48.46181925,7.486761185,"48,47351189","7,483504161",1.322151426
0670050R,"LP LYC METIER ",LYCEE PROFESSIONNEL PAUL EMILE VICTOR LYCEE DES METIERS,LYCEE PROFESSIONNEL PAUL EMILE VICTOR LYCEE DES METIERS OBERNAI,LP LYCEE DES METIERS PAUL-EMILE VICTOR OBERNAI,,"LP LYCEE DES METIERS ","PAUL-EMILE VICTOR ",Sans objet,,1 A avenue de Gail,,67210,OBERNAI,94.4,0,2nd degré,Public,ce.0670050R@ac-strasbourg.fr,0388476470,TRAN THANH Son,AVEC INTERNAT ET DEMI PENSION,OBERNAI,Deux portes,Deux Portes,SUD,,SUD 2,RIEGERT Isabelle,PIAL_0671434V,,20,213,48.46155201,7.489798866,"48,47351189","7,483504161",1.408529744
0670211R,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE OTTROTT,ECOLE MATERNELLE PUBLIQUE OTTROTT,COLLEGE FREPPEL,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,5 avenue des Myrtilles,,67530,OTTROTT,0,0,1er degré,Public,ce.0670211R@ac-strasbourg.fr,0388959524,,,OBERNAI,Deux portes,Deux Portes,SUD,,SUD 2,RIEGERT Isabelle,PIAL_0671434V,,51,51,48.45553532,7.42981138,"48,47351189","7,483504161",4.434875435
0670217X,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE NIEDERNAI,ECOLE MATERNELLE PUBLIQUE NIEDERNAI,COLLEGE EUROPE,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,9 rue du Château,,67210,NIEDERNAI,0,0,1er degré,Public,ce.0670217X@ac-strasbourg.fr,0388954147,,,OBERNAI,Deux portes,Deux Portes,SUD,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671434V,,49,38,48.45155794,7.516142223,"48,47351189","7,483504161",3.42794136
0670231M,"E.M.PU ",ECOLE MATERNELLE LE CASTEL,ECOLE MATERNELLE LE CASTEL BISCHOFFSHEIM,ECOLE MATERNELLE PUBLIQUE LE CASTEL BISCHOFFSHEIM,COLLEGE HERRADE DE LANDSBERG,"ECOLE MATERNELLE PUBLIQUE ","LE CASTEL ",Hors EP,,5 A rue du Castel,,67870,BISCHOFFSHEIM,0,0,1er degré,Public,ce.0670231M@ac-strasbourg.fr,0388507590,,,OBERNAI,Deux portes,Deux Portes,SUD,,SUD 6,ALLAIS Florence,PIAL_0672868D,,105,99,48.48672469,7.494117653,"48,47351189","7,483504161",1.664495037
0670232N,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE BOERSCH,ECOLE MATERNELLE PUBLIQUE BOERSCH,COLLEGE HERRADE DE LANDSBERG,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,4 rue du Moulin,,67530,BOERSCH,0,0,1er degré,Public,ce.0670232N@ac-strasbourg.fr,0388958228,,,OBERNAI,Deux portes,Deux Portes,SUD,,SUD 6,ALLAIS Florence,PIAL_0672868D,,64,60,48.47636485,7.443414736,"48,47351189","7,483504161",2.972226515
0670246D,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE MEISTRATZHEIM,ECOLE MATERNELLE PUBLIQUE MEISTRATZHEIM,COLLEGE EUROPE,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,417 rue Sainte-Odile,,67210,MEISTRATZHEIM,0,0,1er degré,Public,ce.0670246D@ac-strasbourg.fr,0388954658,,,OBERNAI,Deux portes,Deux Portes,SUD,,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671434V,,36,44,48.44970797,7.540774039,"48,47351189","7,483504161",4.983805541
0671236E,"E.E.PU ",ECOLE PRIMAIRE DES FONTAINES,ECOLE PRIMAIRE DES FONTAINES BISCHOFFSHEIM,ECOLE PRIMAIRE PUBLIQUE DES FONTAINES BISCHOFFSHEIM,COLLEGE HERRADE DE LANDSBERG,"ECOLE PRIMAIRE PUBLIQUE ","DES FONTAINES ",Hors EP,,2 rue des Ecoles,,67870,BISCHOFFSHEIM,0,0,1er degré,Public,ce.0671236E@ac-strasbourg.fr,0388502124,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 6,ALLAIS Florence,PIAL_0672868D,,140,152,48.48683907,7.488786883,"48,47351189","7,483504161",1.532217409
0671238G,"E.E.PU ",ECOLE CHARLES SPINDLER,ECOLE CHARLES SPINDLER BOERSCH,ECOLE ELEMENTAIRE PUBLIQUE CHARLES SPINDLER BOERSCH,COLLEGE HERRADE DE LANDSBERG,"ECOLE ELEMENTAIRE PUBLIQUE ","CHARLES SPINDLER ",Hors EP,,21 rue Mgr Médard Barth,,67530,BOERSCH,0,0,1er degré,Public,ce.0671238G@ac-strasbourg.fr,0388481337,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 6,ALLAIS Florence,PIAL_0672868D,,111,140,48.47748539,7.440319567,"48,47351189","7,483504161",3.213893495
0671241K,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE GRENDELBRUCH,ECOLE PRIMAIRE PUBLIQUE GRENDELBRUCH,COLLEGE HERRADE DE LANDSBERG,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,1 rue de la Libération,,67190,GRENDELBRUCH,0,0,1er degré,Public,ce.0671241K@ac-strasbourg.fr,0388978433,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,,,PIAL_0672868D,,86,93,48.49273535,7.322814478,"48,47351189","7,483504161",12.03490185
0671243M,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE GRIESHEIM PRES MOLSHEIM,ECOLE PRIMAIRE PUBLIQUE GRIESHEIM PRES MOLSHEIM,COLLEGE HERRADE DE LANDSBERG,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,47 rue du Général de Gaulle,,67870,GRIESHEIM PRES MOLSHEIM,0,0,1er degré,Public,ce.0671243M@ac-strasbourg.fr,0388161590,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 6,ALLAIS Florence,PIAL_0672868D,,113,130,48.50279126,7.53272165,"48,47351189","7,483504161",4.87403418
0671245P,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE MOLLKIRCH,ECOLE PRIMAIRE PUBLIQUE MOLLKIRCH,COLLEGE HERRADE DE LANDSBERG,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,15 rue du Mollberg,,67190,MOLLKIRCH,0,0,1er degré,Public,ce.0671245P@ac-strasbourg.fr,0388490009,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 6,ALLAIS Florence,PIAL_0672868D,,69,74,48.50560535,7.385156558,"48,47351189","7,483504161",8.078667961
0671246R,"E.P.PU ",ECOLE ELEMENTAIRE,ECOLE ELEMENTAIRE OTTROTT,ECOLE PRIMAIRE PUBLIQUE OTTROTT,COLLEGE FREPPEL,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,5 avenue des Myrtilles,,67530,OTTROTT,0,0,1er degré,Public,ce.0671246R@ac-strasbourg.fr,0388959658,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 2,RIEGERT Isabelle,PIAL_0671434V,,99,106,48.45553532,7.42981138,"48,47351189","7,483504161",4.434875435
0671248T,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE ROSENWILLER,ECOLE PRIMAIRE PUBLIQUE ROSENWILLER,COLLEGE HERRADE DE LANDSBERG,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,2 rue de l'Ecole,,67560,ROSENWILLER,0,0,1er degré,Public,ce.0671248T@ac-strasbourg.fr,0388507369,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 6,ALLAIS Florence,PIAL_0672868D,,54,56,48.50622282,7.441709952,"48,47351189","7,483504161",4.766166621
0671250V,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE ST NABOR,ECOLE PRIMAIRE PUBLIQUE ST NABOR,COLLEGE FREPPEL,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,10 rue des Carrières,,67530,ST NABOR,0,0,1er degré,Public,ce.0671250V@ac-strasbourg.fr,0972132955,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 2,RIEGERT Isabelle,PIAL_0671434V,,22,25,48.44602344,7.422969367,"48,47351189","7,483504161",5.40995825
0671433U,"E.E.PU ",ECOLE PRIMAIRE PABLO PICASSO,ECOLE PRIMAIRE PABLO PICASSO OBERNAI,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO OBERNAI,COLLEGE EUROPE,"ECOLE ELEMENTAIRE PUBLIQUE ","PABLO PICASSO ",Hors EP,,Square Saint-Charles,,67210,OBERNAI,0,1,1er degré,Public,ce.0671433U@ac-strasbourg.fr,0388952954,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 2,RIEGERT Isabelle,PIAL_0671434V,,357,317,48.46056707,7.496460116,"48,47351189","7,483504161",1.727514242
0671434V,"E.P.PU ",ECOLE PRIMAIRE FREPPEL,ECOLE PRIMAIRE FREPPEL OBERNAI,ECOLE PRIMAIRE PUBLIQUE FREPPEL OBERNAI,COLLEGE FREPPEL,"ECOLE PRIMAIRE PUBLIQUE ","FREPPEL ",Hors EP,,29 rue du Général Gouraud,,67210,OBERNAI,0,0,1er degré,Public,ce.0671434V@ac-strasbourg.fr,0388952947,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,SUD 2,RIEGERT Isabelle,PIAL_0671434V,,156,181,48.46206067,7.485857838,"48,47351189","7,483504161",1.285087658
0671435W,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE BERNARDSWILLER,ECOLE PRIMAIRE PUBLIQUE ECOLE PRIMAIRE BERNARDSWILLER,COLLEGE FREPPEL,"ECOLE PRIMAIRE PUBLIQUE ","ECOLE PRIMAIRE ",Hors EP,,Rue de l'Ecole,,67210,BERNARDSWILLER,0,0,1er degré,Public,ce.0671435W@ac-strasbourg.fr,0388954293,,,OBERNAI,Deux portes,Deux Portes,SUD,OBERNAI Europe,EUROMETROPOLE 4,BAPPERT Virginie,PIAL_0671434V,,115,116,48.45144875,7.463028638,"48,47351189","7,483504161",2.880639048
